Year,0305,0307,0308,0309,0311,0317,0321,0322,0430,0434,0438,0440,0442,0444,0446,0450,0450CC,0470,0474,0478,0484,0484A,0486,0498,0631,0632,3106,A315,A319,A320,A432,A438,A456,A499,A617,A620,A630,A631,A670,A680,A685,A687,A690,AMES_1,B319,B484,B499,BB470,BSE_1MUDMTNRD,C320,C370,C446,C484,CHERRY_1,D320,D444,D474,F321,G320,GRIFFIN,HARRIS_1,J370,J484,KSHZ06,KTHA01,KTHA02,KTHA03,LSIN1,LSIN9,N484,NFK_SNQ,PATTER_3,RAGING_MTH,S478,S484,SFK_SNQ,SNQDUVALL,TOLT_MTH,VA12A,VA23A,VA37A,VA41A,VA42A,VA45A,VA65A
1970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,342.738875,311.06112500000006,NA,328.5245,253.7975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,322.43262500000003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,416.2475,417.465875,421.121,448.7375,330.96125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,421.121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1973,374.82275000000004,437.366,508.84400000000005,533.2115000000001,425.9945,NA,385.38200000000006,1090.7366666666667,1374.864,NA,NA,NA,NA,NA,NA,NA,NA,633.928,538.085,484.47650000000004,NA,NA,NA,NA,NA,NA,446.7465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196.94,369.94925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177.446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974,441.833375,425.58837500000004,464.98249999999996,451.17425000000003,357.76550000000003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,413.81075000000004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975,400.40862500000003,421.121,510.28425,494.22349999999994,387.0065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,408.93725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976,366.294125,367.02515,NA,377.2595,316.8281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,316.34075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1977,409.91195,527.3633,NA,539.5470500000001,315.8534,NA,NA,NA,NA,NA,191.0918,NA,NA,NA,1215.387,284.41932499999996,NA,NA,NA,NA,NA,NA,142.60047500000002,NA,NA,NA,358.983875,NA,182.075825,NA,NA,172.328825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135.04655,NA,NA,NA,NA,NA,NA,1206.006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1978,358.25285,394.31674999999996,NA,392.36735,286.12505000000004,NA,NA,1607.8255000000001,NA,NA,214.240925,980.8620000000001,NA,NA,NA,304.64435000000003,NA,NA,NA,NA,NA,NA,213.5099,NA,NA,NA,281.982575,NA,204.25025,NA,NA,186.2183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135.777575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,416.491175,490.08102499999995,NA,492.76144999999997,358.7402,1206.006,705.9987000000001,1609.389,1374.864,1290.4350000000002,214.97195,1004.3145,248.59910000000002,603.3899,1496.817,312.9293,NA,926.4522000000001,617.0357,465.95719999999994,391.88,NA,199.133075,1046.529,655.0490000000001,375.79745,336.56577500000003,758.5323000000001,266.387375,796.0563000000001,1468.674,193.284875,618.9851000000001,1459.2930000000001,NA,NA,656.0237000000001,765.099,NA,NA,NA,NA,NA,NA,178.664375,440.615,NA,NA,NA,493.24879999999996,942.3999000000001,1309.1970000000001,391.88,NA,902.9997000000001,NA,612.1622,NA,199.8641,NA,NA,NA,240.8015,NA,NA,NA,NA,NA,NA,568.3007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,499.097,576.0983,NA,579.0224,447.833625,1145.0294999999999,714.4416,1712.5800000000002,1196.625,1191.9344999999998,385.0571,971.481,458.1596,541.0091,1145.0295,469.85599999999994,NA,817.16355,721.0083000000001,631.6562,494.22350000000006,NA,359.22755,1107.5055,830.766,360.6896,425.9945,665.7752500000001,454.2608,753.8418,1220.0774999999999,335.10372500000005,622.8839,1609.389,NA,NA,915.1949999999999,870.1662000000001,NA,NA,NA,NA,NA,NA,251.03585,382.133,NA,NA,NA,558.06635000000006,911.4426,1276.3635,540.0344,NA,838.7398499999999,674.1033,718.194,NA,389.44325000000003,NA,NA,NA,413.3234,NA,NA,NA,NA,NA,NA,624.8333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,385.0571,582.43385,NA,515.6668999999999,439.43550000000005,922.6998000000001,618.0104,1675.056,958.34760000000006,1187.244,280.27685,1168.482,820.4469000000001,535.1609000000001,1327.9589999999998,490.32469999999995,NA,891.7425000000001,725.6988000000001,734.1417,466.9319,NA,348.50585,1234.1490000000001,971.481,464.0078,525.004425,602.4152,280.76419999999996,711.6273000000001,1327.9589999999998,241.28885000000002,691.9272000000001,1750.104,NA,NA,1590.627,999.624,NA,NA,NA,NA,NA,NA,195.47795,412.3487,NA,NA,NA,432.8174,990.243,1168.482,668.4747000000001,NA,837.3327,811.0659,NA,NA,232.0292,NA,NA,NA,570.2501,NA,NA,NA,NA,NA,NA,624.8333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982,410.39930000000004,567.8133500000001,NA,546.8573,383.40011,963.5071500000001,840.147,1989.3195,1431.15,1266.9825,297.3341,1337.34,866.88285,667.5366000000001,1581.2459999999999,673.4929,NA,1182.5535,903.46875,983.6763000000001,668.2081000000001,NA,402.6017,1215.3870000000002,962.1,585.8453000000001,421.44590000000005,498.1223,367.51250000000005,928.3284,1407.6975,242.26355,894.5568000000001,1740.723,NA,NA,1234.1490000000001,1084.0529999999999,NA,NA,NA,NA,NA,NA,202.78820000000002,510.30604999999997,NA,NA,NA,568.78805,1093.434,1417.0785,834.7681,NA,979.4548500000001,943.338,NA,NA,219.3581,NA,NA,NA,867.82095,NA,NA,NA,NA,NA,NA,697.08675,NA,NA,NA,NA,580.48445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
